Source,Target
Dm7,G7.5+
G7.5+,Abmaj7
Abmaj7,Dbmaj7
Dbmaj7,Db6
Db6,C6.9
C6,C
C,Ebdim7
Ebdim7,Dm7
Dm7,G9
G9,Dm7
Dm7,G11
G11,C
C,Gm7
Gm7,C13
C13,F
F,A7
A7,D7
D7,Dm7
Dm7,C6
Dm7,G7
G7,Dm7
F,G7
G7,C6
C6,Em
Em,A7
A7,B9-
B9-,Em
Em,Gb7
Gb7,Gbm7
Gbm7,B7
B7,Em
Em,Gm
Gm,A7
D7,G7
Dm7,G5.11
G5.11,C7
C7,B7
B7,Gm7
Gm7,C7
C7,F
G7,Am
Am,Fm6
Fm6,C
C,Dm7
G7,C
C,C6
C6,F9
F9,Bbmaj7
Bbmaj7,Am7
Am7,D7
D7,Dm7.5-
Dm7.5-,G7
G7,Em7
Em7,A9
A9,Dm7
Dm7,G9-
G9-,Cmaj7
Cmaj7,C6
C6,Fm7
Fm7,Bb7
Bb7,Ebmaj7
Ebmaj7,Cm7
Cm7,Fm7
Ebmaj7,Eb6
Eb6,Dm11
Dm11,G7
G7,Cmaj7
C6,Bm11
Bm11,E9
E9,Amaj7
Amaj7,A6
A6,Dm7
Dm7,G7
G7,Dm7.5-
G9-,C
C,Dm7
Dm7,Dbmaj7
Dbmaj7,C6.9
C,Cmaj7
Cmaj7,Cdim7
Cdim7,F
F,Fmaj7
Fmaj7,D9
D9,Am7
Am7,D9
D9,Bb6
Bb6,Bbm7
Bbm7,F
F,Am7.5-
Am7.5-,D7
D7,G9
G9,Gb7
Gb7,G7
G7,C
Bb6,Bbm
Bbm,F
F,D7
D7,D9
D9,G9
G9,Gm7
Gm7,C7
C7,F
F,Gm7
Gm7,Gbmaj7
Gbmaj7,F6.9
C,Bm7.5-
Bm7.5-,E9-
E9-,Am7
Am7,D9-
D9-,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,F6
F6,Fm7
Fm7,Bb9
Bb9,Ebmaj7
Ebmaj7,Ebm7
Ebm7,Ab9
Ab9,Dbmaj7
Dbmaj7,Db
Db,Dm7.5-
Dm7.5-,G9-
G9-,Em7
Em7,Eb7
Eb7,Dm7
Dm7,G7
G7,C
Bm7.5-,E7
E7,Am7
Am7,D7
D7,Gm7
Fm7,Bb7
Bb7,Ebmaj7
Ebmaj7,Eb6
Eb6,Ebm7
Dbmaj7,Dm7.5-
Eb6,Eb7
Eb7,Ab7
Ab7,Dbmaj7
Dm7.5-,G7
G7,Em7
Dm7.5-,G9
G9,Em7
Em7,A7
A7,A7.5+
A7.5+,A7
A7,Dm7
C,G9+
G9+,G9
Em7,Dm7
Dm7,Dbmaj7
Dbmaj7,Cmaj7
Dm7.5-,G7
G7,Cmaj7
Cmaj7,Dm7.5-
Cmaj7,Gbm7.5-
Gbm7.5-,Fm7
Fm7,Em7
Em7,Ebdim7
Ebdim7,Dm7
Dm7,G7
Cmaj7,Bb7
Bb7,Ebmaj7
Ebmaj7,Cmaj7
Cmaj7,Ebmaj7
G7,Dm7
Dm7,C6
C6,D7
D7,G7
C,F
F,Fm6
Fm6,C
C,Dbdim7
Dbdim7,Dm7
Dm7,G7
G7,Dm7
G7,C
C,G7
C,D7
D7,Dm7
C,Dm7
Bm7,E9
E9,E9-
E9-,Am7
Am7,D7
D7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Fmaj7
Fmaj7,Bm7.5-
Bm7.5-,E7
E7,Am7
Am7,Gbm7.5-
Gbm7.5-,B7
B7,Bm7
Bm7,E7
E7,Bm7
G7,Em7.5-
Em7.5-,A7.3-.5-.9-.11-.13-
A7.3-.5-.9-.11-.13-,Dm7
Dm7,Fm7
Fm7,Bb7
Bb7,Em7
Em7,A9-
A9-,D7
D7,Ab7
Ab7,Dm7
Dm7,G9-
G9-,C6
C6,E7
Cmaj7,E7.5+
E7.5+,Fmaj7
Fmaj7,A7.5+
A7.5+,Dm7
Dm7,A7.5+
A7.5+,D7
D7,G7
G7,Em7
Em7,Ebdim
Ebdim,Dm7
Dm7,G7
G7,Gm7
Gm7,C7
C7,F
F,Gbdim
Gbdim,C
C,Dm7
G7,C
B,D7
D7,G
G,Bb7
Bb7,Eb
Eb,Am7
Am7,D7
Eb,Gb7
Gb7,B
B,Fm7
Fm7,Bb9
Bb9,Eb
G,Dbm7
Dbm7,Gb7
Fm7,Bb7
Eb,Dbm7
C,Dbdim7
Dbdim7,Dm7
Dm7,Ebdim7
Ebdim7,C
C,E7
E7,Fmaj7
Fmaj7,Gbdim7
Gbdim7,C
C,D7
D7,G7
G7,A7
A7,Dm7
Dm7,G7
G7,C
Dbdim7,Dm
Dm,Ebdim7
G7,C7
C7,Fmaj7
Fmaj7,A7
A7,Dm
Dm,Am
Am,Dm
Dm,G7
G7,Em7
Em7,A9+
A9+,Dm7
D7,Dm
C,Am
Am,Dm7
C,F
F,C
Gbm7.5-,B9-
B9-,Dm7
Dm7,G7
G7,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,Bb7
Bb7,Cmaj7
Cmaj7,Gbm7.5-
B9-,Em7
Em7,Cm7
Cm7,F7
F7,Gmaj7
Gmaj7,Gbm7.5-
Gbm7.5-,B7
B7,Bm7.5-
Bm7.5-,E9-
E9-,A7.5+
A7.5+,Dm7
Dm7,Bb7
B9-,Em7.5-
Em7.5-,A9-
A9-,Dm7.5-
Dm7.5-,G9-
G9-,Cmaj7
Am,Bm7.5-
Bm7.5-,E9-
E9-,Am
Am,Em7.5-
Em7.5-,A9-
A9-,Dm
Dm,Dm7
Dm7,Gbm7
Gbm7,B7
B7,Dm7
Dm7,G7
G7,C
C,C7
C7,Bm7.5-
Bm7.5-,E7
E7,Amaj7
Amaj7,Bm7.5-
Amaj7,Em7.5-
Dm,Dm7.5-
Dm7.5-,G9-
G9-,C
Am,F7
F7,E7
E7,Am
Cmaj7,C7
C7,Gbm7.5-
Gbm7.5-,Fdim7
Fdim7,Em7
Em7,Ebdim7
Ebdim7,Dm6
Dm6,Em7
Em7,A7.5+
A7.5+,Dm7
Dm7,Em7
Em7,F6
F6,Gbdim7
Gbdim7,Gsus4.7
Gsus4.7,Em7
Em7,A7
A7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,Gbdim7
Gbdim7,Cmaj7
Cmaj7,Gbm7.5-
Gbm7.5-,B7
B7,Em7
Em7,A9-
A9-,Dm7
Dm7,G9-
G9-,Cmaj7
Gsus4.7,Cmaj7
Cmaj7,A7
C6,F7
F7,C
C,Dm7
Dm7,G7
G7,Dm7
G7,C6
G7,C
C,F7
C,Bm7
Bm7,E7
E7,Am7
Am7,Bb13
Bb13,A7.5+
A7.5+,D9
D9,G9-
G9-,C
F7,C6
C6,Dm7
C,G7
C,A7
A7,Dm7
Dm7,G7
G7,C
C,G7
C,Em7.5-
Em7.5-,A7
G7,C7
C7,F
F,Gbdim7
Gbdim7,C
Cmaj7,C
C,C6
C6,C
C,D7
D7,G7
G7,Em7
Em7,Eb7
Eb7,Dm7
Dm7,G7
G7,G7.5+.9
G7.5+.9,Cmaj7
Cmaj7,Gm7
Gm7,C9
C9,C7.5+.9
C7.5+.9,F6
F6,Faug
Faug,Bm7
Bm7,E7
E7,Amaj7
Amaj7,A6
A6,Am7
Am7,D7
D7,G7.5+
G7.5+,Cmaj7
Amaj7,D9
D9,Ebdim
Ebdim,Em7
Em7,A7
A7,Dm7
Dm7,G9-
G9-,C
C,Am7
Am7,D9
D9,G7
G7,C
C,Fm6
Fm6,C
C,Am
Am,Dm7
Dm7,G7
G7,Dm7
Dm7,G9-
G9-,C
C,Eb7
Eb7,D7
D7,G7
G7,C
G7,C6
C6,Am7
Am7,Dm7
G7,Gb9-
Gb9-,B9-
B9-,Em7
Em7,A7
A7,G6
G6,D7
G7,C7
C7,E7
E7,A7.5+
A7.5+,D7
D7,Dm7
Dm7,Ab7
Ab7,G7
G7,E7
E7,A7
A7,D7
D7,C
C,A7
A7,Dm7
C,A9+
A9+,D9-
D9-,G9-
G9-,Ab
Ab,Eb
Eb,G7
Cmaj7,Dbdim7
Dbdim7,Dm7
Dm7,G7
G7,Em7
Em7,Am7
Am7,Dm7
G7,Cmaj7
Am7,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,Ebm7
Ebm7,Ab7
Ab7,Dbmaj7
Dbmaj7,Bm7
Bm7,E7
E7,Amaj7
Amaj7,Ebm7
Dbmaj7,Dm7
G7,F7
F7,Em7
Em7,A9-
A9-,Dm7
G7,C
C,Am7
C6,F9
F9,C6
C6,Fm7
Fm7,Bb7
Bb7,Ebm7
Ebm7,Ab7
Ab7,C6
F9,Em7
Em7,A7
A7,D9
D9,Dm7
Dm7,G7
G7,C
C,Dm7
G7,C6
C,E9
E9,Eb9
Eb9,D9
D9,Ebm7
Ab7,Dm7
Em7,Am7
Am7,Gbm7.5-
Gbm7.5-,Fm7
Ab7,Dm7.5-
Dm7.5-,G9-
G9-,Gbm7.5-
Gbm7.5-,F9
Em7,A7.5-.9-
A7.5-.9-,D9
C,Dbmaj9
Dbmaj9,C6.9
Cmaj7,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,Fdim7
Fdim7,Em7
Em7,A7
A7,Dm7
Dm7,G7
G7,Em7
G7,Cmaj7
Cmaj7,F7
F7,Cmaj7
Cmaj7,Dm7
Cmaj7,C7
C7,Gm7
Fmaj7,Gbm7.5-
Gbm7.5-,B7
B7,Em7
A7,D7
D7,Dm7
G7,Em7.5-
Em7.5-,A7
C,Dm7
Dm7,Ebdim7
Ebdim7,C
C,A
A,Bm7
Bm7,Cdim7
Cdim7,A7
A7,D7
D7,G7
G7,C
C,Ebdim7
Ebdim7,Dm7
Dm7,C
C,Gm7
Gm7,C7
C7,F6
F6,Bb9
Bb9,Cmaj7
Cmaj7,C7
C7,C7.5+
C7.5+,D7
D7,Gb7.5-
Gb7.5-,B7
B7,Em7
Em7,Ebdim7
Ebdim7,D7
C,C9+
Cmaj7,Bm7
Bm7,E7
E7,Am7
Am7,D7
D7,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,Bb7
Bb7,Cmaj7
Cmaj7,Gbm7.5-
Gbm7.5-,B9-
B9-,Em7
Em7,Ebdim7
Ebdim7,Dm7
Dm7,Db7
Db7,Cmaj7
Bb7,Em7.5-
Em7.5-,A9-
A9-,D7
D7,Dm7
Dm7,G7
G7,C6.9
C,Em
Em,F
F,Em
Em,Dm7
Dm7,C
C,E7
E7,Am
Am,Ab
Ab,Dm7
Dm7,G7
G7,C
C,Caug
Caug,Fmaj7
Fmaj7,G7
C,F
F,C
C,G7
C,Am
Am,G
G,Am
Am,Dbdim7
Dbdim7,Dm7
Dm7,Dbdim7
C,Em7.5-
Em7.5-,A7
A7,Dm7
Dm7,G9-
G9-,C
C,F6
F6,C
C7,Bb7
Bb7,A7
A7,D7
D7,G7
G7,C7
C7,D7
C7,F7
F7,Gbdim7
Gbdim7,C
C,Bb7
G7,C
Am,Dm6
Dm6,E7
E7,Am
Am,B7
B7,F7.5-
F7.5-,E9
E9,Bb9
Bb9,A7.5+.9
A7.5+.9,A7.5+.9-
A7.5+.9-,Ab9
Ab9,G9
G9,Cmaj7
Cmaj7,Fmaj7
Fmaj7,Em7
Em7,Fm6
Fm6,G9-
G9-,F7
F7,E7
G9,C
C,Gbm7.5-
Gbm7.5-,B9-
B9-,E9-
E9-,Am7
Am7,Dm7
Dm7,G7
G7,Cmaj7
Fmaj7,Bm7.5-
Bm7.5-,F7
E7,Am7
A7.5+.9,Ab9
C,F6
F6,C
Am7,Bm7
Bm7,Am7
Bm7,Fmaj7
Fmaj7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Fmaj7
Fmaj7,Cmaj7
Fmaj7,Bm7.5-
Bm7.5-,E7
E7,Amaj7
Amaj7,Bm7
Bm7,Amaj7
Bm7,Dmaj7
Dmaj7,Dm7
Bm7.5-,E9-
E9-,Am7
Am7,Bm7.5-
E7,Am7
Am7,Fmaj7
Fmaj7,D7
D7,Cmaj7
Fmaj7,G7
G7,C6
C6,Fmaj7
Fmaj7,C6
C,A7
A7,Dm7
Dm7,G7
G7,C
A7,Dm
Dm,E7
E7,Am7
Am7,D7
D7,Dm7
E7,Am
Am,Dm7
Dm7,C
G7,Dm7
C,B7
B7,Em
Em,Am7
Am7,Em
D7,Ddim7
Ddim7,D7
D7,G9
G9,C
C,G7
G7,Am
Am,G7
C,Am
Am,F
F,G7
C,Am7
Am7,Dm7.5-
Dm7.5-,G7
C,Ab7
Ab7,C
Cmaj7,Em7.5-
Em7.5-,A9-
A9-,Dm7
Dm7,G7
G7,C6
C6,Am7.5-
Am7.5-,D7
D7,Dm7
G7,Cmaj7
Cmaj7,Gm7
Gm7,C7
C7,F6
F6,Fm6
Fm6,Cmaj7
Cmaj7,Em7
Em7,A7
A7,D7
Cmaj7,Ebm7
Ebm7,Dm7
G7,Gm7
F6,Bb7
Bb7,C6
C6,Dm7
Dm7,Em7
Em7,Fm6
Fm6,Em7
Em7,Am7
Am7,Dm7
E7,Am6
Am6,A9
A9,D9
D9,G7
G7,C6
C6,E7
Dm7,G7
G7,Dm7
G7,Em7
Em7,A7
A7,Em7
A7,Am9
Am9,D9
D9,Abm9
Abm9,Db9
Db9,C
C,Dm7
Dm7,Em7
A7,C
C,F7
F7,C
C,Gm7
Gm7,C7
C7,Gm7
Gm7,C9-
C9-,Fmaj7
Fmaj7,Gm7
Gm7,Am7
Am7,Bbm7
Bbm7,Am7
Am7,D7
D7,Am7
Am7,D9-
D9-,G7
C,C7
C7,F
F,Ab
Ab,C
C,G7
G7,C6.9
Am,G
G,Abdim
Abdim,Am
Am,B7
B7,E
E,Am
Am,E7
E7,Am
Am,Dm
Dm,Am
Am,C
C,G
F7,Cm
Cm,F7
Cm,Fm7
Fm7,Bb7
Bb7,Eb7
Eb7,Ab7
Ab7,Dm7.5-
Dm7.5-,G7.5+
G7.5+,Cm
Cm,Cm7
Cm7,Fm7
Bb7,Ebmaj7
Ebmaj7,Gm7.5-
Gm7.5-,C7
C7,Fm7
Ebmaj7,Cm7
Cm7,C7
C7,Fm
Fm,Am7.5-
Am7.5-,D7
D7,Gm7.5-
Gm7.5-,C9-
C9-,F7
Cm7,Am7.5-
Am7.5-,F7
F7,Fm7
Fm7,Dm7.5-
Dm7.5-,Cm
F7,C
Em7,Am7
Am7,Dm7
Dm7,G7
G7,E7
E7,Em7.5-
Em7.5-,A7
A7,D7
D7,G7
G7,C7
C7,Fmaj7
Fmaj7,Dm7.5-
Dm7.5-,G7
G7,Em7
Em7,A7
A7,Dm7
G7,Gbm7
Gbm7,B7
B7,Abm7
Abm7,Gbm7
Gbm7,Emaj7
Emaj7,Ebm7
Ebm7,Dm7
Em7,A7.5-
A7.5-,A7
Dm7,E7
E7,Am7
Am7,Gm7
Gm7,Fmaj7
Fmaj7,E7
Am7,D9
D9,Em7
Em7,Eb7
Eb7,Dm7
A7,Gbm7
B7,Em7
Em7,C11
C11,C7
Fmaj7,Bb9
Bb9,Am
Am,Am7
Am7,D7
D7,Fdim7
Fdim7,C6
C6,Ebdim7
Ebdim7,Dm7
Dm7,G9
G9,G9-
G9-,C
C,C6.9
C6,Dbdim7
Dbdim7,G7
G7,Ebdim7
Ebdim7,Em7
Em7,Am7
Am7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,C7
C7,A13
A13,Ab13
Ab13,G13
G13,Dm7
Dm7,Gdim7
Gdim7,G7
G7,C6
C6,A7
A7,Gb13
Gb13,F13
F13,E7
E7,A7
A7,D7
D7,G7
C6,C7
C7,A7
A7,Dm7
Dm7,A7
Dm7,Ebdim7
Em7,A7
Dm7,G9-
G9-,C6
C6,Am7
C6,F7
F7,C6.9
Am,Am5+
Am5+,Am6
Am6,Am7
Am7,Dm7
Dm7,G7
G7,G7.5+
G7.5+,Cmaj7
Cmaj7,Bm7
Bm7,E7
E7,Em7
Em7,A7.5+
A7.5+,D9
D9,Dm7
Dm7,C6
C6,B9-
B9-,E7
E7,Am
C6,Gbm7.5-
Gbm7.5-,B9-
B9-,Em
Em,Am6
Am6,B7
B7,Em
Em,Dbm7.5-
Dbm7.5-,Am6
Am6,Bsus4.7
Bsus4.7,B7
B7,E
E,Bm7
C6,E7.5+.9-
E7.5+.9-,C6
Am7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Fmaj7
Fmaj7,Bm7.5-
Bm7.5-,E9-
E9-,Am7
Am7,A9-
A9-,Dm7
Dm7,G9
G9,G9-
G9-,Cmaj9
Cmaj9,Am7
Am7,Am7.9
Am7.9,Dm7
G7,Fdim7
Fdim7,Cmaj7
Cmaj7,Bm7
Bm7,E7
E7,Am7
G9,G7
G7,Em7.5-
Em7.5-,A9-
Dm7,G9-
G9-,C6
C6,Bm7
E7,Em7.5-
Em7.5-,Bb9
Bb9,A9-
G7,G9-
C6,Bb6
Bb6,B6
B6,C6.9
C,E7
E7,Am
Am,Am7
Am7,Gm7
Gm7,C7
C7,F
F,A7
A7,D7
D7,Dm7.5-
Dm7.5-,G7
G7,C
C,C7
F,Fm6
Fm6,Cmaj7
Cmaj7,A9-
A9-,Dm7
Dm7,G7
C,Dm7
Dm7,G9-
G9-,C
G7,Cmaj9
Cmaj9,C6
C6,Dm7
C6,Gbm7
Gbm7,B7
B7,Emaj7
Emaj7,E6
E6,Dm7
Dm7,Ab7.5-
Ab7.5-,G7
G7,G7.5+
G7.5+,C
C7,C7.5+
C7.5+,F
F,D9
D9,Dm7
Dm7,Dm7.5-
Dm7.5-,C6
Dm7,G7
G7,Cmaj7
Cmaj7,E7.5+
E7.5+,A7
A7,Dm7
G7,Bm7.5-
Bm7.5-,E7.5+
E7.5+,Am7
Am7,D7
D7,Dm7
G7,Dm7
Dm7,Fm7
Fm7,Bb7
Bb7,Cmaj7
Cmaj7,Em7
Em7,A7
G7,C
Cmaj9,Eb7
Eb7,A7.5-
A7.5-,Abmaj7
Abmaj7,Ab6
Ab6,Dm7
Dm7,G7
G7,G7.5-.9-
G7.5-.9-,Cmaj7
Cmaj7,Gm7
Gm7,C7
C7,Fm7
Fm7,Bb9
Bb9,Ebmaj7
Ebmaj7,A9
A9,Abmaj7
Abmaj7,Dm7
Dm7,G9
G9,G9-
G9-,Cmaj7
Cmaj7,Dm7
G7,Cmaj9
G7.5-.9-,Cmaj9
Cmaj9,Gm7
Gm7,C7.5+.9
C7.5+.9,Fmaj7
Fmaj7,Dm7
G7,Em7
Em7,Am7
Am7,D7.5-
D7.5-,D7
D7,Dm7
G7,Dm7
Dm7,G9-
G9-,C
C,Am7
Am7,Dm7
G9,C
C,Eb6
Eb6,Abmaj7
Abmaj7,Dbmaj7
Dbmaj7,C6
C,Am9
Am9,Dm7
Dm7,G7
G7,C
C,C7
C7,F
F,Fm
Fm,C
C,Am
Am,D7
D7,G7
C,G7
C,Gbm7.5-
Gbm7.5-,B7
B7,Em7
Em7,A7
A7,Dm7
G7,Gbm7.5-
G7,E7
E7,A7
C,Ab7
Ab7,G7
Dm7,G7
G7,Cmaj7
Cmaj7,Fmaj7
Fmaj7,Bm7.5-
Bm7.5-,E7
E7,Am
Am,E7
Am,Bm7.5-
Bm7.5-,E9-
E9-,Am
Am,Dm7
Cmaj7,Bm7.5-
E9-,Am7
Am7,Ab7
Ab7,Gm7
Gm7,Gb7
Gb7,Fmaj7
Fmaj7,E9-
C,Ebdim7
Ebdim7,Dm7
Dm7,G7
G7,C
C,Am7
Am7,Dm7
G7,C7
C7,Fmaj7
Fmaj7,F7
F7,E7
E7,Eb7
Eb7,D7
D7,G7
G7,Gm7
Gm7,C7
Fmaj7,Gbdim7
Gbdim7,Cmaj9
Cmaj9,A7
A7,Dm7
Dm7,D7
C,F
F,Fm
Fm,C
C,G7
G7,C6
G7,Am
Am,Dm7
Dm7,G7
Am,Gm7
Gm7,C7
C7,Dm
Dm,Dm7
Am,Gbm7
Gbm7,B7
B7,Em
Em,Dm7
G7,Am7.5-
Am7.5-,Am
Dm7,G7.5+
G7.5+,Cmaj7
Cmaj7,Dbdim7
Dbdim7,Dm7
Dm7,Ebdim7
Ebdim7,Em7
Em7,Cm7
Cm7,F7.5+
F7.5+,Bbmaj7
Bbmaj7,Bm7.5-
Bm7.5-,E9-
E9-,Amaj7
Amaj7,A9-
A9-,Amaj7
Amaj7,D7
D7,Gmaj7
Gmaj7,C7
C7,Fmaj7
Fmaj7,Gbdim7
Gbdim7,Fm6
Fm6,Em6
Em6,Eb7.5-
Eb7.5-,D7
D7,Dm7
Dm7,E9-
E9-,Am6
Am6,A7
C6,Am7
Am7,Dm7
Dm7,Db9+
Db9+,C6
Am7,Bb9
Bb9,Dm7
Dm7,G11
G11,C
C,Dm7
Dm7,G7
G7,C6
C,Gbm11
Gbm11,B7
B7,Emaj7
Emaj7,Fdim7
Fdim7,Gbm11
Gbm11,F9.11+
F9.11+,Emaj7
Emaj7,E6
E6,Gm11
Gm11,C7
C7,Fmaj7
Fmaj7,Gbdim7
Gbdim7,Gm11
Gm11,C9
C9,F
F,G7.5+.9-
G7.5+.9-,C6
C,Am7
Am7,D9
D9,Db9
Db9,Cmaj9
Eb7,Ab7
Ab7,Eb7
Eb7,Bb7
Bb7,Ab7
Am,Gbm7.5-
Gbm7.5-,Bm7.5-
Bm7.5-,E7
E7,Am7
Am7,D7
D7,Fm7
Fm7,Bb7
Bb7,Em7
Em7,A7
A7,Dm7
Dm7,G7
G7,Am7
D7,F7
F7,E7
E7,F7
Am7,Gbm7.5-
Gbm7.5-,B9-
B9-,E7
E7,Gbm7.5-
E7,Dm7
G7,Cmaj7
Cmaj7,F7
E7,A7
A7,G7
G7,F7
E7,Am
Gbm7.5-,B9-
B9-,Em7
Em7,Gb7.5-
Gb7.5-,Fmaj7
Fmaj7,Gbm7.5-
Em7,A9-
A9-,Dm7
Dm7,Fm7
Fm7,Em7
Dm7,G9-
G9-,Cmaj7
Cmaj7,Dm7
G9-,Em7
Cmaj7,Gbm7.5-
Em7,A9
A9,Dm7
G9-,Gbm7.5-
C,A7
A7,D7
D7,Dm7
Dm7,G7
G7,C
C,Gm7
Gm7,Gb7
Gb7,F
F,Fm7
Fm7,C
D7,E7
E7,Am
Am,E9+
E9+,Am
Am,E7
Am,Cdim
Cdim,C
A7,Dm7
C,Dm7
C6,Am7
Am7,Dm9
Dm9,G7
G7,Cmaj7
Cmaj7,Am7
Am7,Dm7
Dm7,G7
Cmaj7,Bb13
Bb13,A7
A7,Dm7
G7,Gm11
Gm11,C7
