Source,Target
C7,Fmaj7
Fmaj7,Dm7
G7,C6
G7,Fm7
Fm7,Bb7
Bb7,Ebmaj7
Ebmaj7,Edim7
Edim7,Fm7
Ebmaj7,Gm7
Gm7,Gbdim7
Gbdim7,Fm7
Fm7,Bb9
Bb9,Ebmaj7
Fm7,Bb13
Bb13,Ebmaj7
Ebmaj7,Abmaj7
Abmaj7,Dm11
Dm11,G7
G7,Dm7
Dm7,Em7
Em7,F6
F6,G7
G7,Cmaj7
Cmaj7,Dm7
Em7,A9-
A9-,Dm7
G7,Em7.5-
Em7.5-,A7
A7,Dm7
Dm7,Fm7
Fm7,Bb7
Bb7,Ebmaj7
Ebmaj7,Am7.5-
Am7.5-,Gm7
Gm7,Am7
Am7,D9-
D9-,Gmaj7
Gmaj7,G7
G7,G7.5+
G7.5+,Dm7
A9-,Ab7
Ab7,Gm7
Am7,Bbm6
Bbm6,C7
C7,Fm6
Fm6,Ebm7
Ebm7,Db7
Db7,Cm7
Cm7,G7
G7,Cm
Cm,Eb7
Eb7,Abmaj7
Abmaj7,Eb7
Eb7,Dm7
Em7,Fm6
Fm6,G9-
G9-,Cm
Gaug,C
C,Fm
Fm,C
C,Dbdim7
Dbdim7,Dm7
Dm7,G7
G7,Gaug
Dbdim7,G7
C,G7
G7,Gm6
Gm6,F7
F7,Bm
Bm,E7
E7,A7
A7,D7
D7,Dm7
C,Fm6
Fm6,C
G7,Dm7
G7,C
C,B7
B7,G7
C,F6
F6,C
Am7,Bm7.5-
Bm7.5-,E7
E7,Am7
Am7,Gbm7.5-
Gbm7.5-,B7
B7,Em7
Em7,Gbm7.5-
Em7,A7
A7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Gm7
Gm7,C7
C7,F7
F7,Am7.5-
Am7.5-,D7
D7,G7
G7,Bm7.5-
G7,C7
C7,Em7.5-
Em7.5-,A7
Dm7,Fm7
Fm7,Bb7
Bb7,Cmaj7
Cmaj7,D7
D7,Dm7
Cmaj7,F7
F7,Cmaj7
F7,Em7
Em7,Ebm7
Ebm7,Ab7
Ab7,Dm7
Dm7,G7
G7,E7.5+
E7.5+,A7
A7,Dm7
G7,Gbm7.5-
Gbm7.5-,Fm7
Fm7,Em7
Em7,Am7
Am7,Gm7
Gm7,Gbm7
Gbm7,B7
B7,Abm7
Abm7,Db7
Db7,Gbm7
Gbm7,Am7
Am7,D7
D7,Gmaj7
Gmaj7,Em7
D7,Dm7
G7,Cmaj7
G7,C
C,Ebmaj7
Ebmaj7,Abmaj7
Abmaj7,Dbmaj7
Dbmaj7,Cmaj7
Am,Eaug
Eaug,C
C,D9
D9,Fm
Fm,C
C,F9
F9,Gaug
Gaug,C
C,Am
C,Fm
C,G7
G7,C
C,E7
E7,Am
Cmaj7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Am7
Am7,Abm7
Abm7,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,Gm7
Fmaj7,Am7
Am7,D7
D7,Gmaj7
Gmaj7,B9-
B9-,Em7
Em7,A7
A7,Bm7.5-
Bm7.5-,E9-
E9-,Am
Am,Am7
D7,G7
G7,D9
D9,Dm7
Cmaj7,E7
E7,Fmaj7
Fmaj7,D7
D7,A7
A7,Fm7
Fm7,Bb7
Bb7,Cmaj7
Cmaj7,D9
G7,C6
C6,Dm7
Cmaj7,Bm7.5-
Bm7.5-,E9-
E9-,Am6
Am6,D9
D9,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Gm7
Gm7,C7
C7,Fm6
Fm6,Cm6
Cm6,Fm7
Fm7,Dm7
Dm7,G7.5+
G7.5+,Am7.5-
Am7.5-,D9-
D9-,Gm7
Gm7,Em7.5-
Em7.5-,A9-
A9-,Dm7
Am6,Gbm7.5-
Gbm7.5-,B7
B7,E7
E7,F7
F7,E7
E7,A7
A7,Bbmaj7
Bbmaj7,A7
A7,D7
D7,Eb9
Eb9,D9
D9,E7
E7,Am6
Gbm7.5-,Bm7.5-
Am6,Dm7
Am,E7
E7,Am7
Am7,Gbm7.5-
Gbm7.5-,Fmaj7
Fmaj7,Dm7.9
Dm7.9,Bm7.5-
Bm7.5-,E9-
E9-,Am
Am7,D
D,Fmaj7
Fmaj7,Gbm7.5-
Gbm7.5-,B7.5-.9-
B7.5-.9-,Em7
Em7,A7.5-.9-
A7.5-.9-,Dm7.5-
Dm7.5-,G9-
G9-,Cmaj7
Cmaj7,Dm7
Dm7,Em7
Em7,Dm7
Dm7,C
C,Dm7
Dm7,Cmaj7
Cmaj7,E7.5+
E7.5+,E7
Am7,Gm7
Gm7,Gb9-
Gb9-,Fmaj7
Fmaj7,Bm7.5-
E9-,Am7
Am7,Ab9
Ab9,Gm7.9
Gm7.9,Gb7.5-.9+
Gb7.5-.9+,Fmaj7
Fmaj7,Dm7
Dm7,G7
G7,C
C6,D7.5-
D7.5-,Dm7
Dm7,G7
G7,C
C,Fmaj7
Fmaj7,D7
D7,Dm9
Dm9,G9
G9,Db9
Db9,C6
C,C7
C7,F
F,Ab7
Ab7,C
C,G9
G9,C6
C6,Cmaj9
Cmaj7,Bm7.5-
Bm7.5-,E9-
E9-,Am7
Am7,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,Dm7.5-
Dm7.5-,G7
G7,Cmaj7
Cmaj7,Am7
Am7,D7
D7,Am7
D7,Dm7
Dm7,G7
Cmaj7,Em7
Em7,A7
A7,Cmaj7
Cmaj7,B7
B7,E7
E7,A7
A7,Dm7
Cmaj7,G7
C,A7
A7,Dm7
Dm7,G7
G7,C
C,Em7.5-
Em7.5-,A9-
A9-,Dm7
C,Am7
Am7,Dm7
C,G7
Em7.5-,A7
C,Gm7
Gm7,C7
C7,Gm7
C7,F
F,C7
F,Am7
Am7,D7
D7,Am7
D7,G
G,D9-
D9-,G7
G7,Em7
Em7,A7
F7,Bb7
Bb7,F7
F7,C7
C7,Bb7
Bb7,C7
Am7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Fmaj7
Fmaj7,B7
B7,Emaj7
Emaj7,Em7
Em7,Am7
Am7,D7
D7,Gmaj7
Gmaj7,Cmaj7
Cmaj7,Gb7
Gb7,Bmaj7
Bmaj7,Dbm7
Dbm7,Gb7
Bmaj7,Bbm7
Bbm7,Eb7
Eb7,Abmaj7
Abmaj7,E7.5+
E7.5+,Am7
Fmaj7,Fm7
Fm7,Em7
Em7,Ebdim7
Ebdim7,Dm7
Cmaj7,B7
B7,E7
C,F
F,Gbdim7
Gbdim7,G7
G7,C
C,C7
C7,C7.5+
C7.5+,F
Gbdim7,C
C,E7
E7,Am
Am,F7
F7,D7
D7,G11
G11,C
C,F6
F6,Gbdim7
C7,F9
F9,Eb9
Eb9,D7
D7,G7
C,F7
F7,C
C6,Cm7
Cm7,F7
F7,Bb6
Bb6,Bbm7
Bbm7,Eb7
Eb7,Abmaj7
Abmaj7,Dm7.5-
Dm7.5-,G7
G7,Cmaj7
Cmaj7,Am7
Am7,Dm7
Dm7,G7
G7,C6
G7,C
C,Am7
Dm7,G9-
G9-,C6
C6,Am7
G9-,Dbm7.5-
Dbm7.5-,Gb7
Gb7,Dm7
Eb7,Ab
Ab,Dm7.5-
Cmaj7,Am7
Am7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,G7
Cmaj7,Dbdim7
Dbdim7,Dm7
G7,C
C,Ab7
Ab7,Dm7
G7,Am7
Am7,D9-
D9-,Gmaj7
Gmaj7,B7
B7,Em
Em,Am7
Am7,D7
D7,Dm7
G7,Am
Am,Am7.5+
Am7.5+,Am7
Am7,Am6
Am6,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,Fm7
Fm7,Bb7
Bb7,Cmaj7
Cmaj7,A7
A7,Dm7
G7,C6
C6,Dm7
D9,Abdim7
Abdim7,Gm7
Gm7,C7
C7,Gb7
Gb7,Fdim7
Fdim7,Fmaj7
Fmaj7,Fm7
Fm7,Bb13
Bb13,Em7
Em7,A7.5+
A7.5+,D9
D9,Dm7
Dm7,Abdim7
Abdim7,D9
Fm7,Bb7.5-
Bb7.5-,Em7
Em7,Am7
Am7,Dm7
Dm7,G9-
G9-,Em7
A7.5+,Dm7
Dm7,G9
G9,C6
C,Em
Em,C
Em,Dm7
Dm7,Dm
Dm,Bb7
Bb7,G7
G7,C
Dm7,Em
Em,G7
C,C6
C6,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,C6
G7,C6
C6,G7
C,Gbdim7
Gbdim7,G7
G7,F
F,Em7
Em7,F
F,Em
Em,Em7.5-
Em7.5-,A7
A7,Dm7
Dm7,G11
G11,G7
C,Cmaj7
Cmaj7,Dm7
C6,D7
D7,G7
Am7,Dm7
Dm7,Bm7.5-
Bm7.5-,E7
E7,Am7
Am7,Cm7
Cm7,F7
F7,Bb
Bb,Bm7.5-
Am7,Bm7.5-
Cmaj7,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,Fm7
Fm7,Bb7
Bb7,Cmaj7
Cmaj7,Am7
Am7,Dm7
Dm7,G7
G7,Em7
Em7,A7
A7,Dm7
G7,C6
C6,Gm7
Gm7,C9-
C9-,Fmaj7
Fmaj7,Gbm7
Gbm7,B7
B7,D7
D7,Em7.5-
Em7.5-,A9-
A9-,Dm7
G7,Cmaj7
C6,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Dm7
Dm7,Em7
Em7,Ebdim7
Ebdim7,Dm7
G7,C
C,Ab7.5+
Ab7.5+,G7
C,Dm7.5-
Dm7.5-,G7.5+
G7.5+,Cmaj7
Cmaj7,B9
B9,E
E,B7
B7,E
E,Ebdim7
Cmaj7,Em7
Em7,Ebdim
Ebdim,Dm7
G7,C7
C7,Fmaj7
Fmaj7,F6
F6,Bb9
Bb9,C
C,Em7
Em7,A7
A7,Dm7
Dm7,Ab7.5+
C,Ebdim7
Ebdim7,G7
Ebdim7,C
Am,Bm7.5-
Bm7.5-,E9-
E9-,Am
Am,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Em7.5-
Em7.5-,A9-
A9-,Dm7
Cmaj7,Fmaj7
Fmaj7,Bm7.5-
E9-,Em7.5-
A9-,Dm
Dm,Bm7.5-
Am,Fmaj7
Bm7.5-,E7
E7,Am
Dm7,Am
Dm7,Am7
Am7,Dm7
Dm7,Em7
Em7,Am6
Am7,Gbm7.5-
Gbm7.5-,B9-
B9-,Bm7.5-
Bm7.5-,E9-
E9-,Am
Am,Bm7.5-
Am,Gbm7.5-
Gbm7.5-,B7
B7,Em
Em,Fmaj7
Fmaj7,Bm7.5-
E9-,Am7
Am,A7
A7,Dm
Dm,E7
E7,Am
B9-,E9-
Am,Bm7
Bm7,E7.5+
E7.5+,Amaj7
Amaj7,Bbdim7
Bbdim7,Bm7
Bm7,E7
E7,Adim7
Adim7,Amaj7
Amaj7,Dbm7
Dbm7,Cdim7
Cdim7,Bm7
Bm7,B7
B7,Bm7.5-
E9-,Amaj7
Amaj7,Am7
Am7,Gbm7
Gbm7,B7
B7,Db
Db,Db7
Db7,Gbm7
Gbm7,Fm7
Fm7,Em7
Em7,A9-
A9-,Dmaj7
Dmaj7,G9
G9,Dbm7
Dbm7,Gb7
Gb7,Gb7.5+
Gb7.5+,B7
B7,Bm7
E7,Dbm7
Dbm7,Gb9-
Gb9-,B7
E7,A
C,F9
F9,D9
D9,Dm7
Dm7,G9
G9,C
C,Ebdim7
Ebdim7,Dm7
G9,Gaug
Gaug,C
F9,C
C,Eb
Eb,Cm7
Cm7,Fm7
Fm7,Bb9-
Bb9-,Eb6
Eb6,C7.5+
C7.5+,F9
F9,Bb7.5+.9
Bb7.5+.9,Gb
Gb,Ebm7
Ebm7,Abm7
Abm7,Db9-
Db9-,Gb6
Gb6,Gb
Gb,G13
G13,C
C,Ab9
Ab9,C
C6,Cmaj7
Cmaj7,G7
G7,Cm7
Cm7,Bbm7
Bbm7,Eb9
Eb9,Ab6
Ab6,Fm7
Fm7,Dm7.5-
Dm7.5-,G7
G7,Cm6
Cm6,Am7.5-
Am7.5-,D7
D7,G7
G7,C6
C6,Dm7
Dm7,G7
Ab6,Ab
Ab,Fm7
Fm7,Bb7
Bb7,Ebmaj7
Ebmaj7,Abmaj7
Abmaj7,D7
C6,F6
F6,C
C,C7
C7,Fmaj7
Fmaj7,Fm7
Fm7,C
C,Em7
Em7,A7
A7,Dm7
G7,Cmaj7
Cmaj7,C7
Fmaj7,Bb7
Ebmaj7,Eb
Eb,Cm7
Cm7,Cm
Cm,Am7.5-
D7,G
G,Gmaj7
Gmaj7,G7
G7,C
C,Cmaj7
Cmaj7,Gbm7.5-
Gbm7.5-,B7
B7,Gm7
Gm7,C7
Fmaj7,Bm7.5-
Bm7.5-,E7
E7,Em7.5-
Em7.5-,A7.5+
A7.5+,Dm
Dm,Ebdim7
Ebdim7,D7.5-
D7.5-,G7
C,Dm7
F6,C6
Dm7,G9-
G9-,Db9
Db9,C6.9
C6,F9
F9,Em7
Em7,A7
A7,Dm7
Dm7,G7
G7,C
C,Gm7
Gm7,C7
C7,F
F,Gbm7
Gbm7,B7
B7,Em7
G7,Em7
G7,C6
F,Gm7
F,Dm7
Dm7,B7.5-
B7.5-,E7
E7,Am7
Am7,D7
D7,Dm7
B7,C6.9
C6.9,Am7
Am7,Dm7
Dm7,G9
G9,G7
G7,E7
E7,A7
A7,D7
D7,Fm7
Fm7,Bb7
Bb7,Em7
Em7,Am7
Fm7,Bb9
Bb9,Em7
C,F6
F6,C
Fmaj7,Ebmaj7
Ebmaj7,D
D,Dbmaj7
Dbmaj7,C9+
C9+,Fm7
Fm7,Em7
Em7,Fmaj7
Fmaj7,Am7.5-
Am7.5-,Em7.5-
Em7.5-,Gm7.5-
Gm7.5-,Dm7.5-
Dm7.5-,G9+
G9+,C9+
C9+,Eb9+
Eb9+,Fmaj7
Cmaj7,E7
E7,A7
A7,Dm
Dm,E7
E7,Am
Am,D7
D7,Dm7
Dm7,G7
G7,Cmaj7
Dm,F
F,Fm
Fm,Cmaj7
Cmaj7,Em7
Em7,A7
A7,Dm7
G7,C6
C6,Ebdim
Ebdim,Dm7
Am,Bm7.5-
Bm7.5-,E7
E7,Am
Am,Am7.5+
Am7.5+,Am7
Am7,Am6
Am6,Dm6
Dm6,Am
Am,B9-
B9-,E7
Am,Gbm7.5-
Gbm7.5-,B9-
B9-,E7.5+
E7.5+,Am
Am,E7.5+
E7.5+,E7
E7,Am
Am,E7
E7,Bm7.5-
Bm7.5-,E9-
E9-,Bm7.9-
Bm7.9-,E7
Am,Bm7.5-
E9-,Am
E7,E9-
Am,Fmaj7
Fmaj7,E7
Bm7.5-,E7
Bm7.5-,Am
E7,Bb6.9
Bb6.9,Am
C,G7
G7,C
C,C7
C7,E
E,B7
B7,E
E,G7
C7,A7
A7,Gm
Gm,Dm
Dm,Fm
Fm,C
C,D9
D9,G7
Am,Em7
Em7,Am
Em7,F
F,G7
G7,Em7
Am,Dm7
Dm7,G7
G7,C
C,C7
C7,F
G7,Bm7
Bm7,E7
E7,Am
C,Ebdim7
Ebdim7,Dm
Dm,Fm
Fm,G7
G7,Dm9
Dm9,G7
G7,E7
E7,A7
A7,D7
D7,G7
G7,C
C,Bb6
Bb6,B6
B6,C6
C6,Gm7
Gm7,C7
C7,Gm7
C7,Fmaj7
Fmaj7,Am
Am,D7
D7,Am
G7,G7.5+
G7.5+,C
Dm,G7
Cmaj7,F9
F9,Cm7
Cm7,F9
F9,Dm7
Dm7,Bb9
Bb9,C
C,Em7
Em7,Dm7
Dm7,Cmaj7
Cmaj7,Dm7.5-
Dm7.5-,G7
G7,Dm7.5-
G7,Abdim7
Abdim7,Am7
Am7,D7
D7,Dm9
Dm9,G7
G7,Cmaj7
Am7,D9
D9,Ebdim7
Ebdim7,Em7
Em7,A7
A7,Dm7
Dm7,G7
G7,C
Am6,Bm7.5-
Bm7.5-,E7
E7,Am7
Am7,D7
D7,Gm7
Gm7,C7
C7,F6
F6,Gbm7.5-
Gbm7.5-,B9-
B9-,Em7.5-
Em7.5-,A9-
A9-,Dm7.5-
Dm7.5-,Bm7.5-
E7,Am6
Am6,Bb7
Bb7,Am7
F6,C7
F6,Em7
Em7,Am
Am,E7
D7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Am7
Am7,D7
Cmaj7,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,Fm7
Fm7,Bb7
Bb7,Cmaj7
G7,Fmaj7
Am7,Dm7
Dm7,G7
G7,Gm6
Gm6,G7
G7,C6
C6,Dm7
Dm7,Ebdim7
Ebdim7,Em7
Em7,D7
D7,Dm7
G7,Cmaj7
Cmaj7,Dm7
C6,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,A7
A7,Dm
Dm,Gbdim
Gbdim,Am
Am,F7
F7,D7
D7,G7
G7,Gdim
Gdim,G7
G7,Dm7
D7,Em7
Em7,A7
A7,Dm7
C6,Bb7
Bb7,C6
C6,G7
C,Dm7
Dm7,Em
Em,Dm7
Dm7,C
C,E7
E7,A
A,D
D,A
A,Gb
Gb,G
G,C
Em,C
C,Em
Em,Am
Am,Em6
Em6,Am
Am,Em
Dm7,G
G,Dm7
Dm7,G7
G7,C
C,Gm7
Gm7,C
C,F
F,C
C,F7
F7,G7
Db7,D7
D7,Db7
D7,Eb7
Eb7,E7
E7,Eb7
E7,Db7
D7,Gbm
Gbm,B7
B7,Db7
D7,Gb11+
Bb7,Am6
Am6,Bb7
Am6,Bbm7.5-
Bbm7.5-,E7.5-.9-
E7.5-.9-,Am6
Am6,Em7.5-
Em7.5-,A9-
A9-,Dm6
Dm6,A9-
Dm6,Dm7.5-
Dm7.5-,G9-
G9-,Cmaj
Cmaj,Bm7.5-
Bm7.5-,E9-
E9-,Bb7
Am6,Bm7.5-
Bm7.5-,E7.5-
E7.5-,Am7.5+
Am,Am7
Am7,Am6
Am6,Am
Am,Am6
Am,Bb9
Bb9,Bb6
Bb6,Bbaug
Bbaug,Bb7
Bb7,Gm
Gm,Em7.5-
Em7.5-,A9-
A9-,Dm
Dm,G7
G7,G7.5+
G7.5+,Cmaj7
Cmaj7,Bm7.5-
Bm7.5-,E9-
E9-,Am
Cmaj7,Bbm7
Bbm7,Eb7
Eb7,Ab
Ab,Abaug
Abaug,Ab6
Ab6,Abaug
Abaug,Ab
Abaug,Eb7
Abaug,Db
Db,Ab
Ab,Eb9
Eb9,Ebaug
Ebaug,Eb7
Eb7,Bbm7
Eb7,Gm7.5-
Gm7.5-,C7
C7,Fm
Fm,Db7
Db7,C7
C7,E7
E7,Am
Dm,Bm7.5-
Bm7.5-,E7
Am,Dm7.5-
Dm7.5-,G11
G11,C
C,C6
Bm7.5-,E7.5+.9+
E7.5+.9+,Bb7
Bb7,Am7
Am7,Gm7
Gm7,C7
C7,Fmaj9
Fmaj9,Dm11
Dm11,G9
G9,Cmaj9
Cmaj9,Bm7.5-
Bm7.5-,Bb7
Am7,C7
C7,Gbm7.5-
Gbm7.5-,E7.5+.9+
E7.5+.9+,Am11
Am11,Gb9+
Gb9+,B7.5+.9+
B7.5+.9+,Em7
Em7,Dbm7.5-
Dbm7.5-,Gbm7.5-
Gbm7.5-,B7.5+.9+
Em7,Bm7.5-
Am11,Bm7.5-
Cmaj7,Dbdim7
Dbdim7,Dm7
Dm7,Ebdim7
Ebdim7,Cmaj7
Cmaj7,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,Bb7
Bb7,Cmaj7
Cmaj7,Am7
Am7,Dm7
Dm7,G7
G7,E7.5+
E7.5+,A9
A9,D7.5+
D7.5+,G9
G9,Dm7
Dm7,G9-
G9-,C
C,F7
F7,Bbm7
Bbm7,Eb7
Eb7,Abmaj7
Abmaj7,Fm7
Fm7,Bbm7
Eb7,Cm7
Cm7,F7
Abmaj7,Ab
Ab,Fm7
Fm7,Dm7.5-
Dm7.5-,G7
G7,Cmaj7
C,Eb7
Abmaj7,G7
C,Em7
Em7,Ebdim7
Ebdim7,Dm7
Dm7,G7.5+
G7.5+,C
C,Dm7
Dm7,Ebdim7
Ebdim7,C
Ebdim7,Em7
Em7,E9-
E9-,Am7
Am7,D9
D9,D9-
D9-,G9
G9,Dbdim7
Dbdim7,Dm7
Dm7,G7
G7,C
Dm7,G9
G9,F9
F9,E7
E7,A7.5+
A7.5+,A9
A9,D
D,Am7
D9,Dm7
Dm7,G9-
G9-,C6
C6,Bb6.9
Bb6.9,B6.9
B6.9,C6.9
C,A7.9-.5+
A7.9-.5+,Dm7
Dm7,G7
G7,C
C,Bb9
Bb9,A7.5+.9
A7.5+.9,Dm7
Dm7,G9-
G9-,C
C,Dm7
G7,Em7
Em7,A7
A7,Dm
Dm,A9-
A9-,Dm7
C,F
F,Em7
A7,Dm7
Dm7,Bb9
Bb9,C
C,Am7
Am7,Dm7
C,Cmaj7
Cmaj7,C7
C7,F
F,C
C,D7
D7,G7
G7,C
C,Dm
Dm,C
C,Dm7
Dm7,G7.5+
G7.5+,C
C,C7
F,B7
B7,C
C,Am
Am,Am7.5+
Am7.5+,Am7
Am7,Am6
Am6,D7
G7,G7.5+
C,G7.5+.9
G7.5+.9,C
D7,D7.5-
D7.5-,G7
C,Ab7
Ab7,D7
D7,G7.5+
C,F
Am9,Abdim7
Abdim7,Gm6
Gm6,D7
D7,Fmaj7
Fmaj7,Bbmaj7
Bbmaj7,Bm7.5-
Bm7.5-,E9-
E9-,Am7
Am7,Ab13
Ab13,Gm7
Gm7,Gbdim7
Gbdim7,Fmaj7
Fmaj7,Bm7.5-
Bm7.5-,E7
E7,Am7
Am7,Ab7
Ab7,Gm9
Gm9,C7
C7,Gbm7
Gbm7,B9-
B9-,Fmaj7
Fmaj7,E7
Dm7,G7
G7,Cmaj7
Cmaj7,Fmaj7
Fmaj7,Bm7.5-
Bm7.5-,E7
E7,Am7
Am7,Eb7
Eb7,Dm7
G7,Em7
Em7,Am7
Am7,Dm7
Em7,A7
A7,Dm7
Cmaj7,Am7
Am7,D7
D7,G7
Fmaj7,Gbm7.5-
Gbm7.5-,B9-
B9-,Em7
Dm7,A7
Dm7,Ab7
Ab7,G7
G7,Dm7
Cm,Gm7
Gm7,C7
C7,Fmaj7
Fmaj7,Fm7
Fm7,Bb7
Bb7,Ebmaj7
Ebmaj7,Ebm7
Ebm7,Ab7
Ab7,Dbmaj7
Dbmaj7,Dm7.5-
Dm7.5-,G9-
Cmaj7,Cm7
Cm7,F7
F7,Cm7
F7,Bbmaj7
Bbmaj7,Bbm7
Bbm7,Eb7
Eb7,Ab7
Ab7,G7
G7,Cm
Cm,Fm7.5-
Fm7.5-,G7
G7,Em7
Em7,A7
A7,Dm7
Dm7,G7
G7,C
C,Dm7
C,Eb7
Eb7,Dm7
Dm7,Db7
Db7,Cmaj7
