Source;Target
24;32
32;31
31;30
30;31
31;32
32;24
24;111
111;24
30;50
50;148
148;123
123;120
120;100
100;120
120;123
123;50
50;109
109;24
109;31
31;109
109;50
50;128
128;123
123;166
166;50
50;120
120;31
100;168
168;24
50;147
147;123
109;100
123;154
154;168
168;71
71;24
30;111
111;50
66;31
31;100
100;168
168;50
50;139
139;168
168;66
66;109
109;139
139;146
146;150
150;66
50;31
31;89
89;168
168;109
109;31
31;139
139;89
89;17
17;89
89;31
168;153
153;168
50;123
123;150
150;50
50;168
168;64
64;66
139;109
109;146
150;89
17;153
153;123
123;64
31;152
152;168
168;50
50;74
74;152
152;162
162;120
120;17
17;89
89;152
152;80
80;152
152;160
160;66
66;74
152;120
152;152
152;117
117;24
24;152
152;74
120;31
74;162
89;80
80;160
66;117
48;110
110;31
31;110
31;89
89;152
152;175
175;117
117;31
31;29
29;89
175;170
170;168
168;31
152;168
168;129
129;38
38;107
107;109
109;120
120;17
17;89
89;31
168;117
31;33
33;29
24;30
30;49
49;109
109;24
30;118
118;20
20;96
96;101
101;100
100;105
105;102
102;109
109;6
6;109
109;21
21;24
109;1
1;46
46;109
1;118
20;100
100;2
2;109
109;50
50;57
57;109
109;96
96;109
1;24
168;171
171;64
64;71
71;120
120;179
179;22
22;100
100;99
99;24
24;177
177;120
120;22
22;89
89;24
24;168
168;65
65;31
31;100
100;168
71;65
65;24
24;100
100;163
163;168
168;166
166;64
64;6
6;17
17;89
89;17
17;22
22;64
64;85
85;81
81;120
120;85
85;85
85;117
117;100
171;50
50;71
65;100
89;155
155;176
176;64
64;31
31;85
85;168
168;64
64;9
9;85
85;155
31;61
61;179
179;30
30;168
168;72
72;179
179;168
66;123
123;96
96;95
95;181
181;66
66;3
3;2
2;8
8;181
123;95
95;66
66;66
66;85
85;66
66;89
89;168
168;66
123;66
66;72
72;2
2;66
66;181
181;72
72;181
181;50
50;66
123;139
139;152
152;85
85;2
2;181
181;123
123;134
134;96
96;66
66;2
123;100
100;66
66;1
1;123
152;2
181;3
50;100
100;66
66;171
171;50
50;39
39;171
171;168
168;50
50;168
168;73
73;50
50;50
100;73
50;66
66;123
123;146
146;50
50;160
160;31
31;43
43;168
50;152
152;50
66;168
168;171
123;150
150;50
50;57
57;31
31;35
35;168
57;109
109;17
17;19
19;1
1;17
17;80
80;31
31;94
94;168
168;72
72;50
50;71
71;73
73;100
100;120
120;139
139;168
17;123
123;100
100;168
168;170
170;168
170;50
50;123
146;43
43;50
50;89
89;168
168;100
100;168
168;50
50;178
178;100
100;73
73;50
50;109
109;143
143;145
145;1
1;50
145;50
168;71
71;143
143;17
17;96
96;24
24;96
96;168
168;117
117;116
116;100
178;96
96;73
89;100
50;57
57;17
17;178
178;117
178;145
50;145
50;50
100;178
178;73
73;109
145;71
71;17
24;117
116;57
100;144
144;168
168;98
98;50
50;17
17;100
100;154
154;168
168;50
50;2
2;50
50;53
53;50
50;72
72;144
144;146
146;149
149;50
50;38
38;6
6;17
17;154
53;146
146;150
150;50
50;146
150;9
9;50
50;154
154;51
51;154
154;9
9;154
168;156
156;168
50;109
109;6
17;144
144;98
98;168
100;168
156;50
50;100
50;84
84;148
148;50
50;50
84;100
100;168
168;50
50;146
146;50
50;64
64;148
50;150
150;176
176;168
50;100
168;100
100;176
50;17
17;89
89;17
89;89
89;100
176;100
50;123
123;50
50;152
152;50
50;50
123;152
50;2
2;123
123;50
50;109
109;24
24;123
123;80
80;50
50;24
24;89
89;168
168;50
50;80
80;81
81;107
107;123
50;50
168;52
52;66
66;50
123;109
24;80
80;89
168;81
107;52
37;124
124;125
125;107
107;37
37;37
125;37
37;107
107;1
1;125
107;125
50;68
68;123
123;152
152;171
171;50
50;50
50;85
85;95
95;168
168;50
123;1
1;152
50;123
123;146
146;17
17;89
89;123
123;168
168;171
104;171
171;164
164;173
173;50
50;75
75;152
152;9
9;29
29;89
89;29
89;152
152;95
95;89
89;9
9;22
22;168
168;173
89;94
94;85
85;152
152;38
38;6
6;17
17;120
120;145
145;38
38;107
107;109
109;9
9;109
109;29
29;17
17;29
17;89
89;168
168;171
171;50
152;104
1;66
66;123
123;1
1;2
2;59
59;1
1;152
152;50
50;123
59;80
80;152
123;123
123;66
59;152
50;80
150;75
75;150
150;98
98;168
168;50
50;128
128;48
48;109
109;31
31;94
94;66
66;168
168;139
139;77
77;66
66;150
168;29
29;89
89;179
179;181
181;66
150;40
40;120
120;100
100;168
94;158
158;55
55;125
125;109
109;139
139;109
109;17
17;42
42;17
17;89
89;178
178;89
89;31
31;89
89;48
31;100
168;24
24;50
66;66
29;92
92;179
48;118
118;20
20;96
96;181
66;80
80;150
36;24
24;100
100;168
168;50
50;109
109;36
109;17
17;34
34;123
123;109
109;24
24;109
109;31
31;24
109;96
96;109
100;109
24;32
32;31
31;30
30;43
43;109
109;22
22;31
31;100
31;36
50;168
168;66
66;50
168;50
50;66
66;123
123;50
50;50
50;132
132;161
161;50
50;25
25;89
89;97
97;168
168;89
89;168
168;50
161;97
97;50
89;50
50;168
168;24
24;50
50;143
143;31
31;50
132;97
97;160
160;89
168;143
143;168
50;50
161;25
24;143
31;160
66;123
123;24
24;89
89;168
168;179
179;66
66;179
123;124
124;123
123;66
168;2
2;44
44;50
50;89
89;179
44;66
66;89
123;89
179;124
124;2
50;123
123;50
123;139
139;2
2;44
44;123
123;24
24;96
96;181
181;66
66;50
66;2
123;66
66;123
44;181
96;123
123;2
2;123
44;24
50;117
117;50
117;64
64;117
117;120
120;119
119;50
64;120
50;117
117;66
66;123
123;100
100;168
168;50
50;24
24;123
123;168
50;50
50;100
168;120
120;31
31;100
31;123
120;17
17;123
50;123
168;24
24;120
31;17
50;24
24;50
24;100
100;168
168;50
50;168
168;81
81;168
50;66
66;146
146;50
50;85
85;149
149;168
168;179
179;66
66;123
123;146
146;68
68;85
85;168
24;89
89;168
85;146
146;168
168;66
50;17
17;89
89;123
123;168
50;50
146;85
81;66
149;179
179;123
50;168
168;50
50;63
63;50
63;163
163;100
100;163
100;168
50;20
20;100
168;100
50;24
24;96
96;100
50;172
172;168
100;87
87;168
50;71
71;64
64;50
50;163
163;168
168;163
168;71
64;71
64;108
108;109
109;166
166;109
109;23
23;24
96;89
89;100
109;21
21;17
17;96
96;116
116;100
50;50
50;64
168;63
100;20
20;24
96;172
172;87
87;71
166;23
23;89
89;21
17;116
50;160
160;24
24;146
146;123
123;66
66;172
172;167
167;66
66;109
109;31
31;35
35;139
139;123
66;17
17;89
89;172
172;109
109;17
89;168
168;66
172;66
66;139
139;66
109;24
24;28
28;30
30;28
28;24
28;31
31;90
90;24
28;123
123;120
120;50
50;89
31;100
100;31
31;140
140;31
24;100
100;24
24;123
172;1
1;17
66;50
167;109
139;17
168;28
30;90
90;120
50;100
100;140
140;1
50;46
46;24
24;80
80;152
152;50
46;117
117;1
1;80
80;50
152;152
50;80
152;117
1;50
80;1
1;1
80;107
107;1
1;127
127;37
37;80
107;80
80;54
54;80
1;107
107;127
37;54
50;117
117;24
24;123
123;100
100;168
168;50
123;168
50;100
168;135
135;168
135;50
50;168
168;1
1;50
50;50
152;168
168;50
50;89
89;152
152;9
9;152
152;64
64;50
50;72
72;144
144;156
156;64
156;50
72;66
66;144
144;138
138;85
85;156
50;78
78;17
17;144
144;168
72;50
50;123
123;144
144;149
149;156
50;64
149;103
103;144
144;100
100;103
103;168
168;64
50;152
89;9
9;64
64;72
156;66
66;138
85;78
17;123
123;149
66;123
123;139
139;2
2;168
168;50
50;66
123;66
123;2
2;123
123;168
50;168
168;66
52;125
125;52
52;83
83;154
154;52
52;52
52;154
125;154
83;125
83;52
125;83
24;152
152;123
123;107
107;24
24;24
24;96
96;24
24;123
123;107
107;24
96;123
2;50
50;50
50;123
123;50
123;152
152;50
50;2
2;123
50;81
81;2
2;81
81;152
152;81
152;2
50;123
123;50
50;152
152;50
50;66
66;123
152;168
168;50
50;50
66;50
123;152
152;66
66;168
24;50
50;96
96;24
96;96
96;50
50;24
96;107
107;96
24;24
24;96
107;24
50;77
77;50
50;152
152;50
50;123
123;50
123;152
152;168
168;50
152;123
50;51
51;24
24;50
51;50
50;24
50;153
153;50
50;50
50;1
1;50
77;152
123;168
168;51
24;153
50;24
24;96
96;152
152;50
50;139
139;50
50;66
66;139
139;168
168;153
153;168
168;51
51;50
139;126
126;50
50;168
168;50
50;123
123;50
139;152
152;153
153;152
152;51
50;58
58;123
123;126
126;168
50;50
152;139
139;66
66;168
153;51
51;126
126;123
123;58
50;117
117;179
179;17
17;96
96;152
152;50
152;24
24;80
80;152
152;117
117;129
129;38
38;117
117;120
120;168
168;50
50;24
120;17
17;80
80;127
127;24
24;38
117;1
1;152
152;129
129;120
120;1
1;80
80;50
80;129
50;14
14;153
153;130
130;151
151;100
100;79
79;78
78;31
31;181
181;66
66;123
123;120
120;100
100;151
151;78
78;181
66;151
151;150
150;6
6;117
117;17
17;123
123;123
100;78
79;168
168;78
100;183
183;78
66;100
100;150
150;181
181;120
120;17
79;50
50;181
151;75
75;181
181;31
31;78
123;109
109;31
31;89
89;152
152;75
75;168
168;66
79;181
181;78
151;120
6;120
151;123
78;50
14;159
159;14
14;78
50;139
139;50
139;139
139;96
96;152
152;50
50;96
152;123
123;152
50;123
152;39
39;1
1;96
96;117
117;123
50;50
139;1
1;139
123;39
1;117
73;168
168;73
168;176
176;50
50;149
149;64
64;168
168;50
50;168
50;58
58;17
17;180
180;17
17;15
15;17
15;94
94;89
89;94
94;152
152;175
175;168
168;145
145;24
24;107
107;31
31;89
89;31
31;80
80;73
73;152
152;145
145;168
168;152
152;50
50;152
94;31
31;123
123;146
146;73
73;50
50;109
109;24
24;73
64;152
64;73
64;58
24;2
2;24
24;50
50;2
2;109
109;24
2;1
1;152
152;1
1;24
2;50
50;109
109;1
50;152
152;24
24;50
50;31
31;123
123;100
100;152
152;50
24;120
120;123
123;50
50;100
100;183
183;50
50;123
183;152
152;123
123;123
100;168
168;50
24;117
117;123
100;80
80;152
100;50
50;50
24;31
100;120
120;183
183;168
168;117
117;80
50;9
9;181
181;2
2;9
9;66
66;151
151;139
139;138
138;89
89;181
138;2
9;83
83;123
123;89
89;100
100;181
181;168
168;66
66;50
50;1
1;9
50;123
123;2
2;168
168;123
123;168
66;139
139;89
89;168
139;2
123;139
139;181
9;123
123;50
2;66
89;83
123;100
100;168
50;123
123;50
123;168
168;123
50;83
83;50
50;50
168;83
50;152
152;24
24;123
123;50
152;123
50;24
24;152
50;50
50;123
123;17
17;89
89;179
179;141
141;4
4;5
5;123
123;50
123;144
144;7
7;144
7;123
17;96
96;142
142;2
2;45
45;5
123;6
6;96
96;6
6;139
139;6
6;168
168;66
66;50
5;144
7;96
45;6
139;168
50;57
57;24
24;31
31;120
120;122
122;123
123;134
134;100
100;105
105;50
50;24
24;123
134;50
50;176
176;123
134;117
117;123
123;152
152;168
168;50
134;96
96;24
24;152
24;120
152;152
24;100
100;168
168;152
57;152
50;123
123;50
50;50
105;176
176;117
117;152
168;96
50;31
31;123
123;150
150;50
50;168
168;50
168;168
31;100
100;168
50;66
66;123
123;146
146;50
100;43
43;168
50;73
73;100
50;123
66;96
96;101
101;100
43;50
50;50
150;168
168;100
100;66
66;146
146;43
43;73
73;96
66;168
168;139
139;152
152;80
80;1
1;107
107;139
139;139
139;66
66;66
66;139
50;24
24;123
123;50
50;50
50;123
50;96
96;152
152;50
50;117
117;123
123;117
117;24
24;80
80;117
123;152
123;96
152;117
117;80
24;152
152;123
123;152
152;24
24;50
50;152
152;80
80;24
80;96
96;24
96;96
96;50
50;117
117;123
152;50
123;96
96;152
123;123
123;117
117;96
96;2
2;2
2;152
50;123
123;50
50;96
96;123
123;1
1;24
50;80
96;117
117;2
2;1
24;32
32;31
31;30
30;24
30;123
123;100
100;99
99;109
109;96
96;109
109;24
24;109
109;31
100;146
146;168
168;50
50;168
50;100
100;168
100;50
168;71
71;114
114;109
24;143
143;139
139;109
123;48
48;109
24;66
66;123
123;143
143;100
50;139
50;145
145;71
71;24
96;146
50;71
114;143
31;50
50;117
117;123
123;152
152;80
80;152
152;50
50;123
50;50
50;80
152;123
50;75
75;2
2;123
123;50
50;152
50;1
1;31
80;75
50;73
73;118
118;17
17;96
96;100
100;6
6;168
168;50
50;139
139;6
6;82
82;73
73;152
152;89
89;98
98;168
168;171
171;50
73;168
168;89
89;6
6;81
81;98
98;128
128;66
66;136
136;139
139;1
1;6
168;60
60;89
89;168
168;128
128;50
73;96
96;128
50;50
123;89
89;152
152;145
145;50
50;17
17;89
89;95
95;64
64;71
71;72
72;168
168;50
50;71
71;64
64;31
31;123
123;100
100;168
50;168
168;123
123;144
144;50
168;24
24;26
26;168
50;123
123;168
168;95
95;50
95;24
24;31
168;72
64;72
72;107
107;109
109;24
24;123
100;95
17;123
71;123
17;95
168;31
31;100
100;144
144;24
26;107
9;100
100;176
176;50
50;46
46;86
86;96
96;48
48;109
109;24
24;31
31;89
89;100
100;168
168;9
24;146
146;50
50;83
83;46
46;32
32;31
31;94
94;88
88;146
50;100
168;24
9;176
24;145
145;50
50;138
138;64
64;9
50;50
50;123
123;2
2;50
123;50
50;81
81;123
123;139
139;2
123;96
96;152
152;179
179;50
50;96
96;50
2;146
146;123
123;179
179;123
152;80
80;152
152;50
50;152
50;2
96;2
96;179
179;2
96;123
123;12
12;50
2;123
2;81
81;139
139;96
179;146
146;80
80;12
50;31
31;100
100;168
168;50
50;168
168;66
66;123
123;50
31;89
89;168
50;117
117;30
30;117
117;38
38;117
117;73
73;117
117;120
120;129
129;73
73;100
100;50
50;66
66;17
17;96
96;145
145;50
50;40
40;168
50;24
24;50
50;123
24;168
168;100
50;100
50;73
73;168
24;38
38;119
119;73
117;96
96;168
168;24
24;89
89;50
24;96
50;146
146;50
123;168
50;50
123;89
89;117
30;38
38;73
73;120
129;17
145;40
40;24
24;119
119;146
71;18
18;100
100;173
173;71
173;72
72;50
50;144
144;168
168;170
170;144
168;72
144;98
98;168
168;79
79;50
50;72
72;144
144;50
50;156
156;50
50;109
109;17
17;156
156;27
27;24
24;98
98;156
24;75
75;72
72;75
75;89
89;152
152;153
153;76
76;85
85;152
152;46
46;31
31;178
178;89
89;98
168;100
100;85
85;178
178;172
172;72
50;181
181;70
70;72
72;70
70;144
144;96
96;17
17;181
181;178
178;17
17;178
178;66
66;123
123;138
138;149
149;1
1;156
156;168
168;50
50;71
71;24
24;85
85;168
50;31
31;100
100;156
50;66
66;178
178;50
50;123
149;149
149;156
156;72
50;24
24;144
50;98
98;173
173;50
71;66
66;72
100;152
152;71
50;123
123;50
50;168
168;123
50;50
50;66
66;123
123;168
168;66
66;123
123;50
50;123
50;152
152;50
50;66
123;139
139;50
123;51
51;66
66;66
152;139
139;51
50;123
123;96
96;50
50;17
17;89
89;168
168;50
96;168
50;50
50;96
50;66
66;123
123;168
168;64
64;50
96;17
168;66
66;64
69;138
138;156
156;83
83;66
66;31
31;96
96;100
100;4
4;179
179;11
11;80
80;123
123;182
182;66
66;69
69;123
123;9
9;66
123;156
123;10
10;69
69;66
66;182
66;13
13;123
123;12
12;182
66;123
123;69
4;11
11;123
81;2
2;153
153;81
81;81
81;6
6;81
81;83
83;153
81;51
51;154
154;51
51;124
124;51
51;81
153;6
6;83
83;51
154;124
1;50
50;72
72;50
72;38
38;71
71;118
118;17
17;123
123;138
138;143
143;149
149;50
50;24
24;144
144;168
168;50
71;71
71;24
24;118
50;144
144;170
170;50
50;168
168;156
156;168
168;98
98;50
24;89
89;85
85;89
89;98
98;123
123;85
85;168
50;50
50;168
168;50
50;144
144;50
50;71
71;85
85;168
168;144
144;168
168;168
168;98
98;50
144;66
66;178
178;66
66;143
143;138
138;24
24;168
168;156
156;24
24;89
89;144
144;98
98;168
156;98
50;24
24;93
93;168
50;66
66;144
144;24
24;156
156;168
50;89
89;98
98;152
152;144
144;178
178;168
24;152
152;156
156;50
24;96
96;106
106;98
98;149
149;50
50;50
144;71
73;23
23;179
179;17
17;148
148;176
176;100
100;168
168;50
50;57
57;24
24;176
100;145
145;64
64;50
50;73
23;89
89;100
168;181
181;180
180;9
9;123
123;134
134;145
145;50
50;24
24;117
117;73
73;152
152;73
73;100
100;109
109;118
118;17
17;100
100;1
1;150
150;148
148;72
72;64
64;73
17;150
148;50
50;50
17;89
89;168
168;50
50;168
50;109
109;17
89;24
24;109
109;24
109;50
50;57
57;121
121;17
50;17
17;118
118;17
17;145
145;17
89;31
31;89
89;145
145;89
89;152
152;100
100;176
176;100
100;152
100;168
168;174
174;50
57;168
168;171
171;50
57;109
24;110
110;109
109;113
113;24
109;112
112;50
57;118
24;57
50;123
123;50
50;66
66;123
123;123
123;124
124;152
152;152
152;50
50;50
50;152
50;57
57;56
56;152
50;107
107;24
24;80
80;50
123;2
2;2
2;37
37;50
2;123
123;134
134;133
133;50
56;50
123;66
66;124
152;57
56;107
80;2
37;134
50;24
24;50
50;152
152;96
96;152
152;50
50;50
50;123
123;152
123;50
24;152
96;123
50;24
24;146
146;50
50;123
123;50
50;66
66;123
123;146
50;168
168;50
50;109
109;24
24;117
117;123
50;96
96;168
50;89
89;80
80;168
168;6
6;81
81;179
179;153
153;81
81;75
75;2
2;81
81;83
83;153
153;157
157;81
75;157
81;2
81;6
81;50
146;123
123;66
66;168
168;109
109;117
117;96
96;89
80;6
153;75
2;83
83;157
50;123
123;50
50;50
50;2
2;123
123;123
50;152
152;168
168;50
152;152
50;51
51;51
51;124
124;51
51;37
37;124
124;124
51;153
153;153
153;154
154;51
153;124
51;50
123;2
2;152
168;51
124;37
37;153
31;89
89;152
152;48
48;109
109;50
50;77
77;100
100;168
168;50
50;71
71;72
72;123
123;146
146;50
50;57
57;123
123;168
50;24
24;154
154;168
50;66
66;143
143;168
168;120
120;24
24;100
100;152
152;50
50;17
17;89
89;168
100;109
109;24
24;31
24;89
89;145
145;152
152;120
50;31
50;168
168;168
168;50
50;95
95;117
117;168
50;64
64;66
66;75
75;76
76;77
77;179
179;176
176;179
179;9
9;17
17;143
143;95
95;168
168;163
163;168
50;123
123;50
50;139
139;109
109;24
24;29
29;2
2;66
66;145
145;24
24;31
31;109
31;89
89;145
24;9
9;123
123;168
168;100
100;168
50;138
138;50
50;50
168;95
117;64
176;9
143;163
163;123
123;139
50;152
152;50
50;123
123;152
50;50
50;2
2;123
123;50
50;80
80;152
50;1
1;123
152;123
123;2
2;80
24;24
24;96
96;24
24;139
139;107
107;24
96;109
109;24
24;75
75;24
24;107
96;107
96;139
107;109
109;75
50;123
123;50
50;168
168;123
168;50
123;168
71;138
138;71
71;96
96;117
117;96
96;168
168;138
138;150
150;96
96;16
16;100
100;99
99;152
152;71
71;71
71;146
146;51
51;75
75;50
50;146
146;81
81;51
51;66
66;146
75;66
51;168
168;71
168;80
80;176
176;80
80;152
152;80
80;117
117;127
127;117
117;17
17;152
152;176
176;152
152;181
181;117
17;80
80;71
138;96
117;168
168;150
150;16
152;146
50;81
81;66
66;80
176;127
127;17
17;181
181;107
50;123
123;50
50;24
24;89
89;168
168;50
50;168
123;89
50;50
123;24
168;107
50;50
50;49
49;109
109;24
24;120
120;115
115;100
100;168
168;50
50;109
24;139
139;50
50;168
168;47
47;41
41;24
24;89
89;96
96;168
50;47
50;120
120;100
100;170
170;50
50;24
168;24
168;139
139;47
50;71
71;66
66;143
143;7
7;50
143;109
109;24
24;31
31;91
91;50
71;143
31;88
88;143
71;50
7;109
67;66
66;123
123;149
149;50
50;17
17;96
96;168
168;109
109;17
168;67
168;50
50;67
123;117
117;17
96;152
152;67
67;62
62;30
30;117
117;96
96;123
123;152
152;1
1;165
165;67
62;123
1;169
169;67
67;154
154;165
165;64
64;67
109;117
117;152
152;62
30;165
165;169
169;154
154;64
64;107
50;123
123;152
152;50
123;66
66;123
123;50
66;50
152;66
123;134
134;100
100;131
131;163
163;168
168;50
50;31
31;100
100;168
50;170
170;50
50;66
66;61
61;138
138;137
137;100
100;150
150;50
50;9
9;131
131;168
50;50
50;17
17;91
91;89
89;123
50;123
31;170
170;66
137;150
150;9
9;17
